vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2018-12-09 09:49:45,2018-12-09 09:57:47,2,1.05,1,N,186,230,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0.0,0.0
1,2018-08-07 17:36:41,2018-08-07 17:44:18,1,0.7,1,N,263,263,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3,0.0,0.0
1,2018-11-07 14:30:45,2018-11-07 14:40:51,1,1.4,1,N,79,148,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15,0.0,0.0
1,2018-02-13 19:03:01,2018-02-13 19:19:01,1,1.8,1,N,234,211,1,11.0,1.0,0.5,1.0,0.0,0.3,13.8,0.0,0.0
2,2018-03-12 18:50:27,2018-03-12 18:54:10,1,0.86,1,N,163,142,1,4.5,1.0,0.5,1.26,0.0,0.3,7.56,0.0,0.0
2,2018-12-21 00:57:21,2018-12-21 01:13:34,1,7.72,1,N,263,263,2,23.5,0.5,0.5,0.0,5.76,0.3,30.56,0.0,0.0
1,2018-09-22 08:38:13,2018-09-22 09:19:52,1,13.8,1,N,48,138,2,42.5,0.0,0.5,0.0,0.0,0.3,43.3,0.0,0.0
2,2018-12-23 20:42:13,2018-12-23 20:58:01,3,5.54,1,N,263,148,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3,0.0,0.0
1,2018-04-04 11:29:43,2018-04-04 11:32:09,1,0.3,1,N,234,234,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3,0.0,0.0
2,2018-02-26 08:33:14,2018-02-26 08:45:20,1,2.05,1,N,234,231,1,10.0,0.0,0.5,2.7,0.0,0.3,13.5,0.0,0.0
2,2018-06-01 11:36:15,2018-06-01 11:39:43,1,0.57,1,N,237,237,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,0.0,0.0
2,2018-04-12 12:48:47,2018-04-12 13:14:28,3,2.1,1,N,186,211,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8,0.0,0.0
2,2018-10-09 06:29:13,2018-10-09 06:38:04,6,1.94,1,N,100,162,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,0.0,0.0
2,2018-03-21 11:08:38,2018-03-21 11:31:29,1,8.39,1,N,138,186,1,26.0,0.0,0.5,6.51,5.76,0.3,39.07,0.0,0.0
2,2018-11-27 07:49:55,2018-11-27 08:00:21,1,1.16,1,N,236,238,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,0.0,0.0
1,2018-09-05 20:31:35,2018-09-05 20:42:25,1,2.2,1,N,142,161,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,0.0,0.0
1,2018-06-02 14:11:32,2018-06-02 14:48:57,1,4.2,1,N,263,107,2,22.5,0.0,0.5,0.0,0.0,0.3,23.3,0.0,0.0
1,2018-08-27 19:40:40,2018-08-27 19:58:29,2,5.9,1,N,239,243,2,20.5,1.0,0.5,0.0,0.0,0.3,22.3,0.0,0.0
2,2018-01-06 00:15:50,2018-01-06 00:32:48,1,2.66,1,N,79,100,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,0.0,0.0
2,2018-11-19 20:12:52,2018-11-19 20:20:12,1,1.25,1,N,262,141,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,0.0,0.0
1,2018-12-13 19:36:37,2018-12-13 19:52:41,2,3.2,1,N,186,261,1,13.0,1.0,0.5,2.95,0.0,0.3,17.75,0.0,0.0
1,2018-01-24 17:04:28,2018-01-24 17:05:42,1,0.2,1,N,107,79,1,3.0,1.0,0.5,0.0,0.0,0.3,4.8,0.0,0.0
